path,label
../dataset\person\image (1).jpg,1
../dataset\person\image (10).jpg,1
../dataset\person\image (11).jpg,1
../dataset\person\image (12).jpg,1
../dataset\person\image (13).jpg,1
../dataset\person\image (14).jpg,1
../dataset\person\image (15).jpg,1
../dataset\person\image (16).jpg,1
../dataset\person\image (17).jpg,1
../dataset\person\image (18).jpg,1
../dataset\person\image (19).jpg,1
../dataset\person\image (2).jpg,1
../dataset\person\image (20).jpg,1
../dataset\person\image (21).jpg,1
../dataset\person\image (22).jpg,1
../dataset\person\image (23).jpg,1
../dataset\person\image (24).jpg,1
../dataset\person\image (25).jpg,1
../dataset\person\image (26).jpg,1
../dataset\person\image (27).jpg,1
../dataset\person\image (28).jpg,1
../dataset\person\image (29).jpg,1
../dataset\person\image (3).jpg,1
../dataset\person\image (30).jpg,1
../dataset\person\image (31).jpg,1
../dataset\person\image (32).jpg,1
../dataset\person\image (33).jpg,1
../dataset\person\image (34).jpg,1
../dataset\person\image (35).jpg,1
../dataset\person\image (36).jpg,1
../dataset\person\image (37).jpg,1
../dataset\person\image (38).jpg,1
../dataset\person\image (39).jpg,1
../dataset\person\image (4).jpg,1
../dataset\person\image (40).jpg,1
../dataset\person\image (41).jpg,1
../dataset\person\image (42).jpg,1
../dataset\person\image (43).jpg,1
../dataset\person\image (44).jpg,1
../dataset\person\image (45).jpg,1
../dataset\person\image (46).jpg,1
../dataset\person\image (47).jpg,1
../dataset\person\image (48).jpg,1
../dataset\person\image (49).jpg,1
../dataset\person\image (5).jpg,1
../dataset\person\image (50).jpg,1
../dataset\person\image (51).jpg,1
../dataset\person\image (52).jpg,1
../dataset\person\image (53).jpg,1
../dataset\person\image (54).jpg,1
../dataset\person\image (55).jpg,1
../dataset\person\image (56).jpg,1
../dataset\person\image (57).jpg,1
../dataset\person\image (58).jpg,1
../dataset\person\image (59).jpg,1
../dataset\person\image (6).jpg,1
../dataset\person\image (60).jpg,1
../dataset\person\image (61).jpg,1
../dataset\person\image (62).jpg,1
../dataset\person\image (63).jpg,1
../dataset\person\image (64).jpg,1
../dataset\person\image (65).jpg,1
../dataset\person\image (66).jpg,1
../dataset\person\image (67).jpg,1
../dataset\person\image (68).jpg,1
../dataset\person\image (69).jpg,1
../dataset\person\image (7).jpg,1
../dataset\person\image (70).jpg,1
../dataset\person\image (71).jpg,1
../dataset\person\image (72).jpg,1
../dataset\person\image (73).jpg,1
../dataset\person\image (74).jpg,1
../dataset\person\image (75).jpg,1
../dataset\person\image (76).jpg,1
../dataset\person\image (77).jpg,1
../dataset\person\image (78).jpg,1
../dataset\person\image (79).jpg,1
../dataset\person\image (8).jpg,1
../dataset\person\image (80).jpg,1
../dataset\person\image (81).jpg,1
../dataset\person\image (9).jpg,1
../dataset\other\img (1).jpg,0
../dataset\other\img (10).jpg,0
../dataset\other\img (11).jpg,0
../dataset\other\img (12).jpg,0
../dataset\other\img (13).jpg,0
../dataset\other\img (14).jpg,0
../dataset\other\img (15).jpg,0
../dataset\other\img (16).jpg,0
../dataset\other\img (17).jpg,0
../dataset\other\img (18).jpg,0
../dataset\other\img (19).jpg,0
../dataset\other\img (2).jpg,0
../dataset\other\img (20).jpg,0
../dataset\other\img (21).jpg,0
../dataset\other\img (22).jpg,0
../dataset\other\img (23).jpg,0
../dataset\other\img (24).jpg,0
../dataset\other\img (25).jpg,0
../dataset\other\img (26).jpg,0
../dataset\other\img (27).jpg,0
../dataset\other\img (28).jpg,0
../dataset\other\img (29).jpg,0
../dataset\other\img (3).jpg,0
../dataset\other\img (30).jpg,0
../dataset\other\img (31).jpg,0
../dataset\other\img (32).jpg,0
../dataset\other\img (33).jpg,0
../dataset\other\img (34).jpg,0
../dataset\other\img (35).jpg,0
../dataset\other\img (36).jpg,0
../dataset\other\img (37).jpg,0
../dataset\other\img (38).jpg,0
../dataset\other\img (39).jpg,0
../dataset\other\img (4).jpg,0
../dataset\other\img (40).jpg,0
../dataset\other\img (41).jpg,0
../dataset\other\img (42).jpg,0
../dataset\other\img (43).jpg,0
../dataset\other\img (44).jpg,0
../dataset\other\img (45).jpg,0
../dataset\other\img (46).jpg,0
../dataset\other\img (47).jpg,0
../dataset\other\img (48).jpg,0
../dataset\other\img (49).jpg,0
../dataset\other\img (5).jpg,0
../dataset\other\img (50).jpg,0
../dataset\other\img (51).jpg,0
../dataset\other\img (52).jpg,0
../dataset\other\img (53).jpg,0
../dataset\other\img (54).jpg,0
../dataset\other\img (55).jpg,0
../dataset\other\img (56).jpg,0
../dataset\other\img (57).jpg,0
../dataset\other\img (58).jpg,0
../dataset\other\img (59).jpg,0
../dataset\other\img (6).jpg,0
../dataset\other\img (60).jpg,0
../dataset\other\img (61).jpg,0
../dataset\other\img (62).jpg,0
../dataset\other\img (63).jpg,0
../dataset\other\img (64).jpg,0
../dataset\other\img (65).jpg,0
../dataset\other\img (66).jpg,0
../dataset\other\img (67).jpg,0
../dataset\other\img (68).jpg,0
../dataset\other\img (69).jpg,0
../dataset\other\img (7).jpg,0
../dataset\other\img (70).jpg,0
../dataset\other\img (71).jpg,0
../dataset\other\img (72).jpg,0
../dataset\other\img (73).jpg,0
../dataset\other\img (74).jpg,0
../dataset\other\img (75).jpg,0
../dataset\other\img (76).jpg,0
../dataset\other\img (77).jpg,0
../dataset\other\img (78).jpg,0
../dataset\other\img (79).jpg,0
../dataset\other\img (8).jpg,0
../dataset\other\img (80).jpg,0
../dataset\other\img (81).jpg,0
../dataset\other\img (9).jpg,0
